"Index","symbol","group","date","hour","exchange"
38,"MTH","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-11-07,17:00,"Binance"
39,"NAS","Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-11-14,15:00,"Binance"
40,"MDA","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-11-23,15:00,"Binance"
41,"MDA","Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading ",2021-11-24,15:00,"Binance"
42,"PHB","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-11-28,17:00,"Binance"
43,"APPC","Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-12-19,15:00,"Binance"
44,"OAX","Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-12-28,15:00,"Binance"
45,"NEBL","Binance Crypto Pumps https://t.me/Big_Pumps_Signals & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Mega Signals Group https://t.me/mega_pump_group",2022-01-02,17:00,"Binance"
46,"PSG","Binance Crypto Pumps https://t.me/Big_Pumps_Signals & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading",2022-01-30,15:00,"Binance"
47,"SNM","Binance Crypto Pumps https://t.me/Big_Pumps_Signals & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading",2022-02-06,15:00,"Binance"
48,"VIB","Big Pump Signal https://t.me/bigpumpsignal",2022-04-26,14:00,"Binance"
49,"MLN","Mega Signals Group https://t.me/mega_pump_group",2022-05-15,16:00,"Binance"
50,"WAN","Mega Signals Group https://t.me/mega_pump_group",2022-07-03,16:00,"Binance"
51,"PIVX","Big Pump Signal https://t.me/bigpumpsignal",2022-07-13,20:41,"Binance"
52,"NEBL","Big Pump Signal https://t.me/bigpumpsignal",2022-07-17,20:59,"Binance"
53,"NAV","Big Pump Signal https://t.me/bigpumpsignal",2022-08-07,17:00,"Binance"
54,"ARK","Big Pump Signal https://t.me/bigpumpsignal",2022-08-13,18:00,"Binance"
55,"AGIX","Binance Crypto Pumps https://t.me/Big_Pumps_Signals & Binance Crypto Pump Signals https://t.me/BinancePumpSignalstrading & Mega Signals Group https://t.me/mega_pump_group & Hotbit | Binance | KuCoin | Gate.io | Crypto | Pumps https://t.me/Binance_Hotbit_Kucoin_Pumps",2022-08-14,16:00,"Binance"
56,"PPT","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-03-07,17:00,"Binance"
57,"VIA","Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-04-21,21:00,"Binance"
58,"IDEX","Mega Signals Group https://t.me/mega_pump_group & Binance Crypto Pumps https://t.me/Big_Pumps_Signals",2021-04-25,17:00,"Binance"
